FID,OBJECTID_1,SUM_prpv_area,SUM_swwt_area,SUM_vgsw_area,SUM_wtpd_area,SUM_inft_area,prpv_num_of_GIs,swwt_num_of_GIs,vgsw_num_of_GIs,wtpd_num_of_GIs,inft_num_of_GIs
1,0,765.8495937,1195.437068,1608.284553,1195.437068,1195.437068,1,1,17,1,25
2,1,0,90980.00389,90980.00389,90980.00389,90980.00389,0,97,979,97,1958
3,3,0,65513.67504,65513.67504,65513.67504,65513.67504,0,70,705,70,1410
4,4,1890.919813,5632.796467,6434.899564,5632.796467,5632.796467,4,6,69,6,121
5,5,743.050275,0,548.8016283,0,0,1,0,5,0,0
6,6,2055.804309,0,2918.479891,0,0,4,0,31,0,0
7,7,4828.288091,9697.739778,11822.6341,9697.739778,9697.739778,10,10,127,10,208
8,8,1105.256511,0,492.2042451,0,0,2,0,5,0,0
9,9,142.1211325,0,80.07945768,0,0,0,0,0,0,0
10,10,3734.77669,197.1760632,1873.051692,197.1760632,197.1760632,8,0,20,0,4
11,11,15534.5727,5162.718963,11408.1581,5162.718963,5162.718963,33,5,122,5,111
12,12,1491.638829,11549.75704,12205.29396,11549.75704,11549.75704,3,12,131,12,248
13,13,1928.202226,0,822.3519664,0,0,4,0,8,0,0
14,14,1832.128166,0,818.5762587,0,0,3,0,8,0,0
15,15,1363.954608,0,570.9758752,0,0,2,0,6,0,0
16,16,1115.76519,746.7146758,1261.810647,746.7146758,746.7146758,2,0,13,0,16
17,17,1958.723234,1096.914407,1934.782043,1096.914407,1096.914407,4,1,20,1,23
18,18,2851.115838,0,1103.6123,0,0,6,0,11,0,0
19,19,1195.15107,0,539.2001085,0,0,2,0,5,0,0
20,20,3140.666293,53331.77115,54708.58044,53331.77115,53331.77115,6,57,588,57,1148
21,21,988.2623146,0,422.7159167,0,0,2,0,4,0,0
22,22,1307.940974,0,503.3574338,0,0,2,0,5,0,0
23,23,7156.332707,0,2994.241772,0,0,15,0,32,0,0
24,24,799.8489037,162933.0913,163279.9798,162933.0913,162933.0913,1,175,1757,175,3507
25,25,2066.179745,225.0297699,1158.30274,225.0297699,225.0297699,4,0,12,0,4
26,26,1848.624523,0,776.2561815,0,0,3,0,8,0,0
27,27,1715.856857,0,740.9762891,0,0,3,0,7,0,0
28,28,11186.90999,0,4498.47192,0,0,24,0,48,0,0
29,29,764.6228733,0,338.0172497,0,0,1,0,3,0,0
30,30,111.6767773,0,36.07148483,0,0,0,0,0,0,0
31,31,1706.561091,0,749.2427284,0,0,3,0,8,0,0
32,32,2032.161577,0,856.9643196,0,0,4,0,9,0,0
33,33,2882.72534,0,1168.582429,0,0,6,0,12,0,0
34,34,4443.960389,0,1876.575284,0,0,9,0,20,0,0
35,35,1813.007682,0,730.8757442,0,0,3,0,7,0,0
36,36,1165.723328,0,430.4971674,0,0,2,0,4,0,0
37,37,2210.490721,0,901.8191091,0,0,4,0,9,0,0
